,question,tag,correct_url,correct_id,returned_id,mrr_score,urls
0,お仕事を依頼する際に年齢限定できるか？,ｄジョブ,https://sw.job.dmkt-sp.jp/lp_cli,1002,"[1003, 1073, 1308, 1002, 730]",0,"['https://job.dmkt-sp.jp/campaign', nan, nan, 'https://job.dmkt-sp.jp/information/guide.html', 'https://travel.dmkt-sp.jp/registration/kikaku']"
1,お仕事を依頼する場合はdアカウントが必要か？,ｄジョブ,https://job.dmkt-sp.jp/inquiries/form?coop=1,1002,"[1308, 1003, 723, 1097, 26]",0,"[nan, 'https://job.dmkt-sp.jp/campaign', 'https://travel.dmkt-sp.jp/registration/ryokin', nan, 'https://d.dmkt-sp.jp/theme/daccount/index.html?backurl=https%3A%2F%2Fd.dmkt-sp.jp%2Fcommon%2Fdpoint%2Findex.html%3Fdcmstore_view%3Dnone']"
2,確定申告への申請は必要？,ｄジョブ,https://sw.job.dmkt-sp.jp/topics/reward_final_return_190304.html,816,"[1239, 1228, 1233, 1238, 1003]",0,"[nan, nan, nan, nan, 'https://job.dmkt-sp.jp/campaign']"
3,スマホワーク以外のお仕事は募集しているか？,ｄジョブ,https://job.dmkt-sp.jp/,1018,"[1066, 1127, 1001, 1071, 1128]",0,"[nan, nan, 'https://job.dmkt-sp.jp/inquiries', nan, nan]"
4,お仕事はいくつまで同時引き受け可能ですか？,ｄジョブ,https://job.dmkt-sp.jp/information/kyujin/faq.html,792,"[1193, 1150, 723, 1192, 1002]",0,"[nan, nan, 'https://travel.dmkt-sp.jp/registration/ryokin', nan, 'https://job.dmkt-sp.jp/information/guide.html']"
5,高ポイント獲得、儲かる仕事は？,ｄジョブ,https://sw.job.dmkt-sp.jp/topics/work_fukugyou_10man_180607.html,922,"[1069, 1076, 1127, 1066, 1071]",0,"[nan, nan, nan, nan, nan]"
6,報酬の支払い方法は？,ｄジョブ,https://sw.job.dmkt-sp.jp/faq,988,"[1106, 1095, 1085, 1110, 1138]",0,"[nan, nan, nan, nan, nan]"
7,バイトの種類は？,ｄジョブ,https://job.dmkt-sp.jp/information/kyujin/faq.html,786,"[1002, 538, 907, 1135, 910]",0,"['https://job.dmkt-sp.jp/information/guide.html', 'https://faq.carshare.dmkt-sp.jp/faq/show/1055', 'https://travel.dmkt-sp.jp/onsen/column/naruko', nan, 'https://travel.dmkt-sp.jp/onsen/onsen_gai/noboribetsu/']"
8,確定申告は必要？,ｄジョブ,https://sw.job.dmkt-sp.jp/topics/reward_final_return_190304.html,766,"[963, 267, 967, 1235, 444]",0,"['https://travel.dmkt-sp.jp/faq/160/', 'https://faq.carshare.dmkt-sp.jp/faq/show/28', 'https://travel.dmkt-sp.jp/faq/37/', nan, 'https://faq.carshare.dmkt-sp.jp/faq/show/1088']"
9,データ入力とは？,ｄジョブ,https://sw.job.dmkt-sp.jp/topics/work_data_naisyoku_180507.html,646,"[1066, 1116, 1077]",0,"[nan, nan, nan]"
10,記事制作とは？,ｄジョブ,https://sw.job.dmkt-sp.jp/topics/work_writer_job_180902.html,1012,"[748, 740, 719, 931, 933]",0,"['https://travel.dmkt-sp.jp/feature/article/', 'https://travel.dmkt-sp.jp/feature/hoshinoresort/kai', 'https://travel.dmkt-sp.jp/onsen/column/', 'https://travel.dmkt-sp.jp/feature/article/glamping/glamping_family', 'https://travel.dmkt-sp.jp/feature/article/glamping/glamping_activity']"
